id_shoes;nom;categorie;marque;genre;Prix;materiaux;usage;caracteristiques;description;mots_cles;stock_total;url_image
40;SoftHome Cozy;Indoor;HomeStep;Mixte;34.9;"Tige: Polaire sherpa; Semelle: Antidérapante mousse; Doublure: Sherpa";Maison,Intérieur,Détente;Ultra douces,Antidérapantes,Légères,Chaudes,Lavables machine;Les SoftHome Cozy sont les pantoufles dont vous ne pourrez plus vous passer. Le sherpa moelleux enveloppe les pieds d'une chaleur douce et réconfortante, idéale pour les soirées d'hiver ou les matinées paresseuses. La semelle antidérapante garantit votre sécurité sur les parquets et carrelages. Leur légèreté extrême fait oublier qu'on les porte. Un vrai plus : elles sont entièrement lavables en machine pour rester fraîches et propres.;pantoufles,maison,intérieur,chaud,sherpa,confort,détente,hiver,lavable;1637;images/image40.png
41;CozyWarm Memory;Indoor;HomeStep;Femme;44.9;"Tige: Velours côtelé; Semelle: Mousse mémoire + antidérapant; Doublure: Microfibre";Maison,Détente,Confort;Semelle mémoire personnalisée,Velours luxueux,Ouverture facile,Légère,Confort supérieur;Les CozyWarm Memory sont des chaussons pour femmes qui allient confort supérieur et esthétique raffinée. La semelle en mousse mémoire s'adapte avec précision à la morphologie du pied pour un soutien personnalisé qui prévient la fatigue plantaire. Le velours côtelé de la tige est doux au toucher et conserve bien la chaleur. L'ouverture large facilite l'enfilage même à la sortie du lit. Un cadeau idéal ou un plaisir que l'on s'offre à soi-même.;chaussons,maison,femme,mousse mémoire,velours,confort,détente,cadeau,doux;1324;images/image41.png
42;WalkPro Comfort;Marche;GentleStep;Mixte;89.9;"Tige: Cuir + mesh; Semelle: EVA renforcée; Doublure: Gel anatomique";Marche,Ville,Quotidien,Senior;Support plantaire gel,Large embout,Confort longue durée,Antidérapante,Facile à enfiler;Les WalkPro Comfort sont conçues pour les marcheurs qui privilégient le confort avant tout. Le support plantaire en gel anatomique répartit uniformément les pressions sous le pied, réduisant douleurs et fatigue même lors de très longues marches. L'embout large offre la place nécessaire aux orteils sans pincement. La semelle EVA renforcée amorti efficacement sur tous les revêtements urbains. L'ouverture large et le système de lacets à enroulement facilitent l'enfilage pour les personnes à mobilité réduite.;marche,confort,gel,podologie,senior,large,antidérapant,quotidien,orthopédique;1581;images/image42.png
43;TrailWalk Nature;Marche;MountainEdge;Mixte;74.9;"Tige: Synthétique respirant; Semelle: Caoutchouc trail; Doublure: Textile";Marche,Nature,Campagne;Polyvalente,Légère,Accroche terrain mixte,Confortable,Bon rapport qualité-prix;Les TrailWalk Nature sont la chaussure de marche polyvalente par excellence pour ceux qui aiment alterner chemins de campagne et rues pavées. La semelle en caoutchouc trail offre une bonne accroche sur les sols variés : herbe humide, chemins de terre, pierres et asphalte. Légères et confortables dès le premier port, elles conviennent aussi bien aux promenades du dimanche qu'aux marches de plusieurs heures. Un excellent rapport qualité-prix pour débuter la marche nature.;marche,nature,campagne,polyvalent,léger,terrain mixte,promenade,famille;1716;images/image43.png
44;BareStep Zero Drop;Minimalistes;FreeMotion;Mixte;99.9;"Tige: Mesh ultra-fin; Semelle: 4mm caoutchouc naturel; Doublure: Aucune (minimal)";Running,Marche,Minimalisme;Drop 0mm,Semelle 4mm,Très flexible,Léger (150g),Renforcement pied naturel;Les BareStep Zero Drop sont la référence pour les adeptes du mouvement minimaliste. Le drop zéro place talon et avant-pied à la même hauteur, favorisant une posture naturelle et un renforcement progressif de toute la chaîne musculaire du pied et de la jambe. La semelle de 4mm en caoutchouc naturel offre une protection minimale tout en permettant une perception fine du sol. Avec seulement 150 grammes, elles disparaissent sous le pied. Idéales pour la transition minimaliste, à adopter progressivement.;minimaliste,zéro drop,barefoot,pieds nus,naturel,léger,running,transition,renforcement;2127;images/image44.png
45;NatureFlex Wide;Minimalistes;FreeMotion;Mixte;119.9;"Tige: Mesh 3D respirant; Semelle: 6mm caoutchouc; Doublure: Lin naturel";Quotidien,Marche,Minimalisme;Embout large (wide),Drop 0mm,Tige très flexible,6mm protection,Quotidien minimaliste;Les NatureFlex Wide combinent les bénéfices du minimalisme avec un embout extra-large qui laisse les orteils libres de s'étaler naturellement. L'embout wide est particulièrement recommandé pour les personnes ayant des orteils en éventail, des oignons ou simplement préférant un espace généreux. La tige en mesh 3D offre une ventilation optimale pour les longues journées. La semelle de 6mm offre une protection légèrement supérieure au BareStep, idéale pour commencer la transition minimaliste en douceur.;minimaliste,wide,large,orteils,drop zéro,quotidien,transition,oignons,nature;2095;images/image45.png
46;EasyStep Canvas;Slip-on;DailyWear;Mixte;44.9;"Tige: Toile canvas; Semelle: Vulcanisée caoutchouc; Doublure: Textile";Quotidien,Détendu,Été;Sans lacets,Élastiques latéraux,Style canvas classique,Légère,Lavable;Les EasyStep Canvas revisitent la chaussure canvas de toile classique en version slip-on sans lacets. Les élastiques latéraux discrets permettent d'enfiler et d'enlever les chaussures sans effort. La semelle vulcanisée en caoutchouc assure une bonne durabilité et une adhérence suffisante pour le quotidien. Légères et respirantes en toile, elles sont parfaites pour l'été, la plage ou le quotidien décontracté. Passent en machine à 30°C pour un entretien facile.;slip-on,canvas,sans lacets,toile,décontracté,été,rapide,facile,lavable;1952;images/image46.png
47;StreetFlex Knit;Slip-on;UrbanStep;Mixte;64.9;"Tige: Tricot knit; Semelle: EVA; Doublure: Textile";Quotidien,Ville,Bureau décontracté;Tige chaussette tricot,Sans lacets,Légère,Respirante,Style moderne;Les StreetFlex Knit exploitent la technologie du tricot chaussette pour créer un slip-on d'une légèreté et d'un confort inégalés. La tige en tricot knit s'adapte comme une seconde peau aux contours du pied, sans coutures irritantes. L'élasticité naturelle du tricot facilite l'enfilage et le retrait. La semelle EVA légère assure confort et amorti pour les journées actives. Un choix moderne et pratique pour le quotidien urbain ou le bureau casual.;slip-on,knit,tricot,sans lacets,moderne,léger,bureau,casual,chaussette;1644;images/image47.png
48;RainStep WP;Imperméables;DryWalk;Mixte;99.9;"Tige: Cuir synthétique waterproof; Semelle: Caoutchouc; Doublure: Membrane imperméable";Pluie,Ville,Quotidien;Imperméables garanties,Style baskets,Membrane étanche,Respirante,Semelle antidérapante pluie;Les RainStep WP prouvent qu'une chaussure imperméable peut être élégante et discrète. Leur aspect de baskets classiques ne trahit pas leur imperméabilité totale garantie par la membrane waterproof intégrée. La tige en cuir synthétique traité repousse l'eau dès le premier contact. La semelle en caoutchouc avec rainures profondes assure une adhérence sécurisée sur les trottoirs mouillés. Respirantes malgré leur imperméabilité, elles évitent l'effet de botte chaude.;imperméable,pluie,waterproof,étanche,antidérapant,ville,respirant,pluie;2021;images/image48.png
49;StormGuard Boot;Imperméables;DryWalk;Mixte;129.9;"Tige: Caoutchouc naturel; Semelle: Caoutchouc cramponnée; Doublure: Néoprène";Pluie intense,Boue,Outdoor;100% étanche,Isolation néoprène,Crampons boue,Tige haute 20cm,Résistant milieux extrêmes;Les StormGuard Boot sont les bottes tout-terrain pour ceux qui n'ont pas peur des éléments. La tige en caoutchouc naturel de 20cm de hauteur offre une étanchéité absolue même dans les flaques profondes. La doublure en néoprène maintient les pieds chauds dans l'eau froide jusqu'à environ 5°C. Les crampons profonds de la semelle mordent efficacement dans la boue épaisse et les terrains détrempés. Idéales pour la chasse, la pêche, le jardinage ou les festivals pluvieux.;bottes,étanche,boue,pluie,caoutchouc,néoprène,festival,chasse,outdoor,terrain;1811;images/image49.png
50;PowerTrain Cross;Training;ActiveFeet;Mixte;89.9;"Tige: Mesh synthétique; Semelle: Caoutchouc pivot; Doublure: Textile respirant";Cross-training,Salle,Polyvalent;Zone pivot pour rotations,Bonne stabilité,Polyvalente,Soutien latéral,Légère;Les PowerTrain Cross sont la chaussure de cross-training polyvalente qui accompagne tous vos entraînements. La zone pivot sous l'avant-pied facilite les rotations lors des mouvements de danse ou des exercices dynamiques. Le soutien latéral prévient les entorses lors des déplacements rapides. La semelle en caoutchouc offre une adhérence adaptée aussi bien aux parquets de salle qu'aux sols sportifs. Légères et respirantes, elles conviennent au HIIT, au cross-training, à l'aérobic et au Zumba.;cross-training,polyvalent,salle,rotation,HIIT,zumba,aérobic,stable,fitness;1807;images/image50.png
51;FlexDance Studio;Danse;MoveArt;Femme;69.9;"Tige: Toile de danse; Semelle: Daim naturel + caoutchouc avant-pied; Doublure: Textile";Danse,Ballet jazz,Modern jazz;Semelle daim technique,Split sole,Légèreté maximale,Flexibilité totale,Respirante;Les FlexDance Studio sont conçues pour les danseuses pratiquant le ballet jazz et le modern jazz. La semelle split en daim naturel (avant-pied et talon séparés) offre une flexibilité maximale du pied tout en assurant l'adhérence nécessaire sur les parquets de danse. La toile de danse légère épouse parfaitement le pied pour une proprioception optimale. L'avant-pied en caoutchouc offre une durabilité supplémentaire aux zones de forte usure. Une chaussure technique pour danseuses exigeantes.;danse,ballet jazz,modern,split sole,daim,flexible,studio,technique,danseuse;1226;images/image51.png
52;StudioPro Latin;Danse;MoveArt;Femme;89.9;"Tige: Satin; Semelle: Daim; Doublure: Cuir souple";Danse latine,Salsa,Bachata;Talon cubain 5cm,Bride cheville,Semelle daim,Confort danse,Fermeture boucle;Les StudioPro Latin sont spécialement développées pour les danseuses de salsa, bachata, merengue et danses latines. Le talon cubain de 5cm offre la hauteur et la stabilité caractéristiques de ces danses, permettant d'exécuter virages et déplacements avec précision. La semelle en daim offre le niveau de glisse idéal sur les parquets sans risque de dérapage. La bride de cheville réglable maintient le pied fermement dans la chaussure pendant les tours. Conçues pour des heures de pratique sans douleur.;danse latine,salsa,bachata,talon cubain,daim,studio,soirée,glisse,femme;1459;images/image52.png
53;SummerSoft Classic;Espadrilles;Mediterraneo;Mixte;34.9;"Tige: Toile de jute; Semelle: Jute naturel; Doublure: Textile";Été,Plage,Vacances;100% jute naturel,Légères,Respirantes,Style méditerranéen,Artisanal;Les SummerSoft Classic perpétuent la tradition centenaire de l'espadrille artisanale méditerranéenne. La tige et la semelle en jute naturel offrent une respirabilité inégalée, idéale pour les journées chaudes d'été. Légères comme une plume, elles disparaissent au pied pour un confort naturel. Fabriquées selon des méthodes artisanales transmises de génération en génération dans les ateliers du Pays Basque, chaque paire est unique. Parfaites pour la terrasse, les vacances ou simplement profiter du soleil.;espadrilles,jute,artisanal,été,méditerranée,naturel,légère,plage,vacances;1777;images/image53.png
54;CoastLine Wedge;Espadrilles;Mediterraneo;Femme;54.9;"Tige: Toile coton; Semelle compensée: Jute + EVA; Doublure: Textile";Été,Ville,Soirée décontractée;Compensées 6cm,Légères,Lacets montants,Tendance,Style côtier;Les CoastLine Wedge subliment l'espadrille classique avec une semelle compensée de 6cm qui apporte élégance et stature. La plateforme en jute naturel recouvert d'EVA allie le style traditionnel à un confort moderne longue durée. Les lacets en coton qui s'enroulent autour de la cheville apportent une touche romantique et assurent le maintien du pied. Parfaites pour dîner en terrasse, une soirée entre amis ou se promener dans les ruelles d'un village de vacances.;espadrilles compensées,été,femme,talon,ville,côtier,vacances,tendance,lacets;1242;images/image54.png
55;ComfortClog Pro;Sabots;HomeStep;Mixte;49.9;"Tige: EVA antibactérien; Semelle: EVA; Doublure: Aucune";Médical,Cuisine,Usage professionnel;Antibactérien,Facile à nettoyer,Antidérapant,Aérations latérales,Réglable arrière,Poids léger;Les ComfortClog Pro sont les sabots de référence pour les professionnels de santé, de la restauration et des milieux techniques. La matière EVA antibactérienne empêche la prolifération des bactéries et des champignons. Le nettoyage est instantané : une simple passée à l'eau froide suffit. La bride arrière réglable assure un maintien sécurisé lors des déplacements rapides. Les aérations latérales permettent une circulation d'air continue. Antidérapants sur sols mouillés, ils répondent aux normes professionnelles.;sabots,médical,cuisine,professionnel,antibactérien,infirmier,restauration,antidérapant;2827;images/image55.png
56;GardenStep Outdoor;Sabots;HomeStep;Mixte;29.9;"Tige: EVA recyclé; Semelle: EVA; Doublure: Aucune";Jardinage,Extérieur,Plage;Prix mini,Léger,Facile à laver,Ventilation maximale,Séchage instantané;Les GardenStep Outdoor sont les sabots utilitaires parfaits pour toutes les activités extérieures. Fabriqués en EVA recyclé, ils ont une empreinte écologique réduite. Leur prix mini en fait un investissement sans risque pour le jardinage, la plage, les activités nautiques ou simplement pour ne pas salir ses bonnes chaussures. Les aérations généreuses assurent une ventilation maximale et un séchage quasi instantané après l'eau. Extrêmement légers et faciles à nettoyer au tuyau d'arrosage.;jardinage,plage,eau,léger,économique,EVA recyclé,extérieur,pratique,facile;2859;images/image56.png
57;LightHiker Mid;Montantes légères;MountainEdge;Mixte;109.9;"Tige: Mesh + cuir synthétique; Semelle: Caoutchouc trail; Doublure: Textile";Randonnée,Trail court,Camping;Tige mi-haute,Légère,Protection cheville modérée,Séchage rapide,Polyvalente;Les LightHiker Mid occupent la niche entre la chaussure basse et la bottine haute de randonnée. Leur tige mi-haute offre une protection et un maintien de la cheville supérieurs à une chaussure basse, sans la rigidité ni le poids d'une chaussure technique de montagne. Le mix mesh respirant et cuir synthétique assure légèreté et durabilité. Leur séchage rapide est apprécié lors des randonnées comportant des passages humides. Idéales pour les randonnées journée avec dénivelé modéré.;montante,mi-haute,randonnée,cheville,légère,trail court,polyvalente,camping;1817;images/image57.png
58;CityHigh Urban;Montantes légères;UrbanStep;Mixte;119.0;"Tige: Canvas épais + cuir; Semelle: Caoutchouc; Doublure: Textile";Ville,Hiver,Style;Tige haute style,Lacets à crochets,Chaudes sans doublure lourde,Semelle robuste,Look streetwear;Les CityHigh Urban revisitent la sneaker montante dans un esprit streetwear contemporain. La tige haute en canvas épais renforcé de cuir offre un maintien de cheville confortable et un style affirmé. Le système de laçage à crochets métalliques vintage est à la fois fonctionnel et esthétique. La semelle en caoutchouc robuste assure une longévité supérieure sur les sols urbains. Assez chaudes pour les intersaisons et l'hiver doux sans être étouffantes.;montante,urban,streetwear,lacets,hiver,ville,canvas,style,cheville;1450;images/image58.png
